Candidate_ID,Candidate_Name,Gender,Age,Source,Position,Department,Recruiter,Application_Date,Interview_Date,Offer_Date,Joining_Date,Status,Salary_Offered
C001,Rohit Kale,Male,22,Indeed,Software Engineer,IT,Amit,2024-02-05,2024-02-15,2024-02-22,2024-03-21,Joined,391161.0
C002,Pratik Jadhav,Male,22,Naukri,Software Engineer,IT,Amit,2024-05-09,2024-05-18,2024-05-22,2024-06-21,Joined,1050800.0
C003,Snehal Patil,Female,25,Referral,Manager,Management,Rohit,2024-01-02,2024-01-08,2024-01-13,,Offer Declined,591369.0
C004,Akash Kulkarni,Male,34,Indeed,Data Analyst,Analytics,Sneha,2024-04-07,2024-04-12,2024-04-17,,Offer Accepted,933052.0
C005,Saurabh More,Male,33,Referral,Manager,Management,Sneha,2024-04-06,2024-04-11,2024-04-18,,Offer Declined,679201.0
C006,Shweta Kulkarni,Male,33,Naukri,Data Analyst,Analytics,Amit,2024-03-15,2024-03-20,,,Rejected,
C007,Aarti Kulkarni,Male,28,Indeed,Sales Executive,Sales,Rohit,2024-02-11,2024-02-18,2024-02-23,,Offer Accepted,1035911.0
C008,Vikas Chavan,Male,31,LinkedIn,Manager,Management,Amit,2024-02-11,2024-02-19,2024-02-26,,Offer Accepted,530283.0
C009,Rohit Kale,Female,35,Naukri,Software Engineer,IT,Sneha,2024-03-21,2024-03-29,2024-04-02,2024-04-22,Joined,894731.0
C010,Neha Joshi,Female,28,Referral,Software Engineer,IT,Rohit,2024-02-05,2024-02-11,,,Rejected,
C011,Amol Pawar,Female,33,Referral,Manager,Management,Pallavi,2024-04-02,2024-04-08,,,Rejected,
C012,Akash Kulkarni,Female,23,Naukri,Data Analyst,Analytics,Amit,2024-06-09,2024-06-15,,,Rejected,
C013,Pratik Jadhav,Male,28,Referral,Manager,Management,Pallavi,2024-05-15,2024-05-22,,,Rejected,
C014,Aarti Kulkarni,Male,32,Naukri,Manager,Management,Rohit,2024-06-13,2024-06-20,2024-06-26,2024-07-20,Joined,465840.0
C015,Rahul Patil,Female,30,LinkedIn,Manager,Management,Sneha,2024-06-09,2024-06-16,,,Rejected,
C016,Amol Pawar,Male,24,Indeed,Software Engineer,IT,Sneha,2024-06-02,2024-06-09,2024-06-12,,Offer Accepted,680612.0
C017,Vikas Chavan,Female,25,Naukri,Software Engineer,IT,Sneha,2024-01-22,2024-02-01,2024-02-04,,Offer Accepted,1097549.0
C018,Amol Pawar,Male,24,Referral,Manager,Management,Amit,2024-03-08,2024-03-17,,,Rejected,
C019,Pratik Jadhav,Male,30,LinkedIn,HR Executive,HR,Pallavi,2024-06-20,2024-06-30,2024-07-07,,Offer Accepted,773417.0
C020,Pooja Deshmukh,Male,25,Naukri,HR Executive,HR,Sneha,2024-05-30,2024-06-08,2024-06-12,2024-06-24,Joined,307540.0
C021,Snehal Patil,Male,25,Naukri,Data Analyst,Analytics,Rohit,2024-01-19,2024-01-28,2024-02-03,2024-03-01,Joined,524643.0
C022,Akash Kulkarni,Female,25,Referral,Sales Executive,Sales,Amit,2024-01-25,2024-01-30,2024-02-04,,Offer Declined,744154.0
C023,Pratik Jadhav,Female,35,Naukri,Data Analyst,Analytics,Sneha,2024-04-13,2024-04-23,2024-04-26,2024-05-12,Joined,560735.0
C024,Neha Joshi,Female,24,Referral,Software Engineer,IT,Rohit,2024-04-28,2024-05-04,,,Rejected,
C025,Pooja Deshmukh,Female,34,Naukri,Data Analyst,Analytics,Sneha,2024-01-24,2024-01-30,2024-02-05,2024-02-21,Joined,804740.0
C026,Aarti Kulkarni,Female,22,LinkedIn,Sales Executive,Sales,Sneha,2024-04-09,2024-04-16,,,Rejected,
C027,Kunal Desai,Female,26,Referral,Manager,Management,Pallavi,2024-02-09,2024-02-15,2024-02-18,2024-03-16,Joined,907314.0
C028,Rahul Patil,Female,22,Naukri,Manager,Management,Pallavi,2024-05-08,2024-05-17,2024-05-24,2024-06-08,Joined,384002.0
C029,Pooja Deshmukh,Male,32,LinkedIn,Sales Executive,Sales,Sneha,2024-05-25,2024-05-31,2024-06-03,,Offer Declined,949468.0
C030,Pooja Deshmukh,Female,32,Indeed,HR Executive,HR,Amit,2024-06-20,2024-06-30,2024-07-05,2024-07-19,Joined,715011.0
C031,Rohit Kale,Female,29,Indeed,Data Analyst,Analytics,Sneha,2024-04-27,2024-05-06,,,Rejected,
C032,Pooja Deshmukh,Male,30,LinkedIn,Manager,Management,Rohit,2024-02-03,2024-02-10,,,Rejected,
C033,Vikas Chavan,Male,27,Indeed,Software Engineer,IT,Pallavi,2024-05-19,2024-05-29,2024-06-05,2024-07-02,Joined,308203.0
C034,Saurabh More,Male,24,Indeed,Data Analyst,Analytics,Sneha,2024-05-21,2024-05-27,2024-06-03,2024-06-23,Joined,520861.0
C035,Neha Joshi,Female,30,Referral,HR Executive,HR,Sneha,2024-01-24,2024-02-03,2024-02-08,,Offer Accepted,346228.0
C036,Rahul Patil,Female,34,LinkedIn,HR Executive,HR,Amit,2024-04-23,2024-05-02,,,Rejected,
C037,Amol Pawar,Male,23,Naukri,Software Engineer,IT,Sneha,2024-04-04,2024-04-13,2024-04-19,,Offer Declined,433636.0
C038,Rahul Patil,Female,27,Naukri,HR Executive,HR,Amit,2024-06-23,2024-06-29,2024-07-04,,Offer Declined,1118011.0
C039,Amol Pawar,Female,31,LinkedIn,Software Engineer,IT,Amit,2024-02-15,2024-02-23,2024-02-28,2024-03-22,Joined,1120391.0
C040,Kunal Desai,Male,26,LinkedIn,Data Analyst,Analytics,Pallavi,2024-01-10,2024-01-18,2024-01-24,2024-02-12,Joined,666643.0
C041,Aarti Kulkarni,Male,25,Naukri,Software Engineer,IT,Pallavi,2024-03-25,2024-04-01,,,Rejected,
C042,Kunal Desai,Female,27,Referral,Manager,Management,Rohit,2024-01-08,2024-01-13,,,Rejected,
C043,Saurabh More,Male,31,Indeed,Data Analyst,Analytics,Sneha,2024-06-01,2024-06-09,2024-06-14,2024-07-13,Joined,757592.0
C044,Amol Pawar,Male,28,LinkedIn,HR Executive,HR,Sneha,2024-04-21,2024-04-26,2024-05-03,,Offer Declined,1020221.0
C045,Snehal Patil,Male,27,Referral,Data Analyst,Analytics,Rohit,2024-06-08,2024-06-15,2024-06-18,,Offer Declined,1054717.0
C046,Vikas Chavan,Female,30,Indeed,Sales Executive,Sales,Rohit,2024-04-13,2024-04-23,2024-04-27,2024-05-20,Joined,501158.0
C047,Rohit Kale,Female,32,LinkedIn,Manager,Management,Rohit,2024-04-13,2024-04-22,,,Rejected,
C048,Saurabh More,Female,25,Referral,Manager,Management,Rohit,2024-04-29,2024-05-07,2024-05-11,,Offer Accepted,836004.0
C049,Sayali Patil,Male,32,Naukri,HR Executive,HR,Rohit,2024-01-24,2024-01-30,2024-02-03,,Offer Declined,1145742.0
C050,Neha Joshi,Male,22,Naukri,Software Engineer,IT,Pallavi,2024-06-05,2024-06-10,2024-06-17,,Offer Accepted,503880.0
C051,Snehal Patil,Female,29,Referral,Software Engineer,IT,Amit,2024-06-16,2024-06-26,2024-06-29,2024-07-22,Joined,1116232.0
C052,Neha Joshi,Male,34,Referral,Data Analyst,Analytics,Amit,2024-02-01,2024-02-09,2024-02-15,2024-03-12,Joined,1000005.0
C053,Amol Pawar,Female,34,Referral,Manager,Management,Pallavi,2024-05-20,2024-05-28,,,Rejected,
C054,Snehal Patil,Female,29,Indeed,Software Engineer,IT,Rohit,2024-05-13,2024-05-21,2024-05-26,,Offer Declined,761239.0
C055,Pooja Deshmukh,Female,25,Indeed,HR Executive,HR,Rohit,2024-05-18,2024-05-23,2024-05-27,2024-06-10,Joined,701641.0
C056,Snehal Patil,Male,23,Referral,Sales Executive,Sales,Rohit,2024-05-18,2024-05-26,2024-05-30,,Offer Accepted,1173349.0
C057,Pratik Jadhav,Female,34,Naukri,Manager,Management,Pallavi,2024-05-02,2024-05-07,,,Rejected,
C058,Saurabh More,Female,35,Referral,Manager,Management,Amit,2024-05-04,2024-05-10,2024-05-16,2024-06-07,Joined,330434.0
C059,Komal Shinde,Female,33,LinkedIn,Sales Executive,Sales,Amit,2024-06-08,2024-06-17,2024-06-23,2024-07-21,Joined,920644.0
C060,Rohit Kale,Male,23,Referral,Software Engineer,IT,Pallavi,2024-02-16,2024-02-21,2024-02-26,2024-03-21,Joined,521941.0
C061,Komal Shinde,Female,34,Referral,HR Executive,HR,Pallavi,2024-03-05,2024-03-10,2024-03-17,,Offer Accepted,354615.0
C062,Komal Shinde,Male,32,Naukri,Data Analyst,Analytics,Sneha,2024-03-04,2024-03-10,,,Rejected,
C063,Shweta Kulkarni,Male,25,LinkedIn,Sales Executive,Sales,Sneha,2024-05-24,2024-05-30,2024-06-04,,Offer Accepted,1104150.0
C064,Komal Shinde,Male,31,Naukri,Software Engineer,IT,Rohit,2024-01-28,2024-02-06,2024-02-11,2024-03-04,Joined,903766.0
C065,Pratik Jadhav,Male,23,LinkedIn,Data Analyst,Analytics,Rohit,2024-06-24,2024-07-03,,,Rejected,
C066,Kunal Desai,Male,27,Referral,HR Executive,HR,Sneha,2024-05-09,2024-05-19,2024-05-25,2024-06-19,Joined,1162276.0
C067,Pooja Deshmukh,Female,27,Referral,Software Engineer,IT,Pallavi,2024-02-15,2024-02-25,2024-03-01,,Offer Declined,945830.0
C068,Kunal Desai,Female,29,Referral,Manager,Management,Rohit,2024-03-23,2024-03-29,,,Rejected,
C069,Pooja Deshmukh,Female,29,LinkedIn,Sales Executive,Sales,Pallavi,2024-03-27,2024-04-01,2024-04-06,,Offer Accepted,490672.0
C070,Sayali Patil,Male,27,Indeed,HR Executive,HR,Rohit,2024-06-01,2024-06-11,,,Rejected,
C071,Amol Pawar,Male,30,LinkedIn,Data Analyst,Analytics,Amit,2024-04-14,2024-04-22,2024-04-26,,Offer Declined,1024156.0
C072,Sayali Patil,Female,29,Naukri,Data Analyst,Analytics,Rohit,2024-02-26,2024-03-05,2024-03-10,,Offer Declined,996212.0
C073,Shweta Kulkarni,Female,29,Indeed,Sales Executive,Sales,Rohit,2024-03-31,2024-04-10,2024-04-15,,Offer Accepted,563615.0
C074,Neha Joshi,Male,33,LinkedIn,HR Executive,HR,Sneha,2024-05-17,2024-05-27,2024-05-31,2024-06-25,Joined,1074483.0
C075,Saurabh More,Female,23,LinkedIn,HR Executive,HR,Amit,2024-04-02,2024-04-08,2024-04-15,2024-05-03,Joined,432731.0
C076,Rahul Patil,Male,30,Indeed,Software Engineer,IT,Pallavi,2024-01-27,2024-02-01,2024-02-07,,Offer Declined,801968.0
C077,Sayali Patil,Female,24,Naukri,HR Executive,HR,Pallavi,2024-01-30,2024-02-04,2024-02-07,,Offer Accepted,905050.0
C078,Rohit Kale,Male,24,LinkedIn,Manager,Management,Rohit,2024-01-22,2024-01-28,2024-02-03,2024-03-03,Joined,935770.0
C079,Kunal Desai,Male,34,Referral,Sales Executive,Sales,Pallavi,2024-03-17,2024-03-26,,,Rejected,
C080,Saurabh More,Male,31,Naukri,Software Engineer,IT,Amit,2024-03-08,2024-03-18,2024-03-22,2024-04-18,Joined,482256.0
C081,Pooja Deshmukh,Male,22,Referral,Sales Executive,Sales,Pallavi,2024-03-15,2024-03-20,2024-03-25,2024-04-18,Joined,1037135.0
C082,Pooja Deshmukh,Male,26,LinkedIn,Sales Executive,Sales,Sneha,2024-05-19,2024-05-25,2024-05-30,,Offer Declined,1166785.0
C083,Akash Kulkarni,Male,22,LinkedIn,HR Executive,HR,Rohit,2024-04-22,2024-04-27,2024-05-02,,Offer Accepted,1033723.0
C084,Pratik Jadhav,Female,30,Referral,Sales Executive,Sales,Sneha,2024-06-02,2024-06-07,,,Rejected,
C085,Snehal Patil,Female,31,Indeed,Data Analyst,Analytics,Sneha,2024-02-28,2024-03-09,,,Rejected,
C086,Shweta Kulkarni,Male,34,Indeed,Manager,Management,Sneha,2024-02-14,2024-02-22,2024-02-28,,Offer Declined,591668.0
C087,Akash Kulkarni,Female,32,Referral,Data Analyst,Analytics,Pallavi,2024-03-30,2024-04-07,2024-04-10,2024-04-25,Joined,1199398.0
C088,Komal Shinde,Female,33,Referral,HR Executive,HR,Pallavi,2024-05-20,2024-05-25,2024-05-30,,Offer Accepted,564659.0
C089,Komal Shinde,Male,34,Referral,Manager,Management,Sneha,2024-06-17,2024-06-26,2024-06-29,,Offer Accepted,496694.0
C090,Amol Pawar,Female,31,Referral,Sales Executive,Sales,Sneha,2024-02-22,2024-02-29,2024-03-05,,Offer Declined,759398.0
C091,Vikas Chavan,Female,23,Naukri,Manager,Management,Amit,2024-02-10,2024-02-17,2024-02-24,,Offer Declined,727809.0
